date,temperature,humidity,pressure
04/10/2021 13:44:55,289.15,59,1029
04/10/2021 13:54:55,289.15,59,1029
04/10/2021 14:04:56,289.15,59,1029
04/10/2021 14:14:56,289.15,59,1029
04/10/2021 14:24:56,289.15,59,1029
04/10/2021 14:34:56,289.15,59,1029
04/10/2021 14:44:56,289.15,59,1029
04/10/2021 14:54:57,289.15,59,1029
04/10/2021 15:04:57,289.15,59,1029
04/10/2021 15:14:57,288.15,58,1029
04/10/2021 15:24:57,288.15,58,1029
04/10/2021 15:34:57,288.15,58,1029
04/10/2021 15:44:58,288.15,58,1029
04/10/2021 15:54:58,288.15,58,1029
04/10/2021 16:04:58,288.15,58,1029
04/10/2021 16:14:58,288.15,58,1029
04/10/2021 16:24:58,289.15,59,1028
04/10/2021 16:34:59,289.15,59,1028
04/10/2021 16:44:59,289.15,59,1028
04/10/2021 16:54:59,289.15,59,1028
04/10/2021 17:04:59,289.15,59,1028
04/10/2021 17:14:59,289.15,59,1028
04/10/2021 17:25:00,288.15,63,1028
04/10/2021 17:35:00,288.15,63,1028
04/10/2021 17:45:00,288.15,63,1028
04/10/2021 17:55:00,288.15,63,1028
04/10/2021 18:05:00,288.15,63,1028
04/10/2021 18:15:01,288.15,63,1028
04/10/2021 18:25:01,288.15,58,1028
04/10/2021 18:35:01,288.15,58,1028
04/10/2021 18:45:01,288.15,58,1028
04/10/2021 18:55:01,288.15,58,1028
04/10/2021 19:05:01,288.15,58,1028
04/10/2021 19:15:02,288.15,58,1028
04/10/2021 19:25:02,287.15,62,1028
04/10/2021 19:35:02,287.15,62,1028
04/10/2021 19:45:02,287.15,62,1028
04/10/2021 19:55:02,287.15,62,1028
04/10/2021 20:05:03,287.15,62,1028
04/10/2021 20:15:03,287.15,62,1028
04/10/2021 20:25:03,286.15,67,1029
04/10/2021 20:35:03,286.15,67,1029
04/10/2021 20:45:03,286.15,67,1029
04/10/2021 20:55:03,286.15,67,1029
04/10/2021 21:05:04,286.15,67,1029
04/10/2021 21:15:04,286.15,67,1029
04/10/2021 21:25:04,286.15,67,1029
04/10/2021 21:35:04,286.15,62,1029
04/10/2021 21:45:04,286.15,62,1029
04/10/2021 21:55:05,286.15,62,1029
04/10/2021 22:05:05,286.15,62,1029
04/10/2021 22:15:05,286.15,62,1029
04/10/2021 22:25:05,286.15,62,1029
04/10/2021 22:35:05,286.15,50,1030
04/10/2021 22:45:06,286.15,50,1030
04/10/2021 22:55:06,286.15,50,1030
04/10/2021 23:05:06,286.15,50,1030
04/10/2021 23:15:06,286.15,50,1030
04/10/2021 23:25:06,286.15,58,1030
04/10/2021 23:35:07,286.15,58,1030
04/10/2021 23:45:07,286.15,58,1030
04/10/2021 23:55:07,286.15,58,1030
04/11/2021 00:05:07,286.15,58,1030
04/11/2021 00:15:07,286.15,58,1030
04/11/2021 00:25:08,286.15,62,1030
04/11/2021 00:35:08,286.15,62,1030
04/11/2021 00:45:08,286.15,62,1030
04/11/2021 00:55:08,286.15,62,1030
04/11/2021 01:05:08,286.15,62,1030
04/11/2021 01:15:09,286.15,62,1030
04/11/2021 01:25:09,286.15,58,1030
04/11/2021 01:35:09,286.15,58,1030
04/11/2021 01:45:09,286.15,58,1030
04/11/2021 01:55:09,286.15,58,1030
04/11/2021 02:05:10,286.15,58,1030
04/11/2021 02:15:10,286.15,58,1030
04/11/2021 02:25:10,285.15,66,1029
04/11/2021 02:35:10,285.15,66,1029
04/11/2021 02:45:10,285.15,66,1029
04/11/2021 02:55:11,285.15,66,1029
04/11/2021 03:05:11,285.15,66,1029
04/11/2021 03:15:11,285.15,66,1029
04/11/2021 03:25:11,285.15,66,1029
04/11/2021 03:35:11,285.15,66,1029
04/11/2021 03:45:11,285.15,66,1029
04/11/2021 03:55:12,285.15,66,1029
04/11/2021 04:05:12,285.15,66,1029
04/11/2021 04:15:12,285.15,66,1029
04/11/2021 04:25:12,285.15,66,1029
04/11/2021 04:35:12,285.15,66,1029
04/11/2021 04:45:12,285.15,66,1029
04/11/2021 04:55:13,285.15,66,1029
04/11/2021 05:05:13,285.15,66,1029
04/11/2021 05:15:13,285.15,66,1029
04/11/2021 05:25:13,285.15,66,1029
04/11/2021 05:35:13,285.15,66,1029
04/11/2021 05:45:14,285.15,66,1029
04/11/2021 05:55:14,285.15,66,1029
04/11/2021 06:05:14,285.15,66,1029
04/11/2021 06:15:14,285.15,66,1029
